Команда для выполнения:
Get-Process | Where-Object { $_.Id -gt 40 } | Sort-Object -Property StartTime | Select-Object Id, Name, StartTime, Handles | Out-File -FilePath "$HOME\Desktop\task-6-result.txt"


Краткое содержимое выходного файла с результатом:

   Id Name                    StartTime           Handles
   -- ----                    ---------           -------
  168 Registry                10.11.2024 13:28:12       0
  592 smss                    10.11.2024 13:28:14      58
  832 csrss                   10.11.2024 13:28:17     536
  920 wininit                 10.11.2024 13:28:18     143
  928 csrss                   10.11.2024 13:28:18     668
  992 services                10.11.2024 13:28:18     643
 1016 lsass                   10.11.2024 13:28:18    1860
  820 winlogon                10.11.2024 13:28:18     267
 1128 svchost                 10.11.2024 13:28:18    1059
 1156 fontdrvhost             10.11.2024 13:28:18      40
 1164 fontdrvhost             10.11.2024 13:28:18      40
 1268 svchost                 10.11.2024 13:28:19    1083
 6352 chrome                  10.11.2024 14:01:31    2766
 3384 chrome                  10.11.2024 14:01:31     250
 6784 chrome                  10.11.2024 14:01:31     795
 7912 chrome                  10.11.2024 14:01:31     454
 1832 chrome                  10.11.2024 14:01:31     209
13200 svchost                 10.11.2024 15:11:06      94
12912 chrome                  10.11.2024 15:11:11     199
10320 svchost                 10.11.2024 15:33:51     196
 9720 DataExchangeHost        10.11.2024 17:06:02     345
 2596 chrome                  10.11.2024 17:06:03     404
 7220 SumatraPDF              10.11.2024 17:06:41     318
12612 powershell_ise          10.11.2024 17:18:21     773
13160 svchost                 10.11.2024 17:22:26     127
 2492 svchost                 10.11.2024 17:28:27     174
 3364 chrome                  10.11.2024 17:29:07     228
13128 chrome                  10.11.2024 17:33:02     249
13240 chrome                  10.11.2024 17:33:09     277
